pop,ind,lat,long,dbh,age,MO1,MO6,MO10,MO55,MO61,MO41,MO45,MO46,MO56,MO8,MO12,MO13,MO68
WM,S12T5,574196,3149411,39.6,106,136/136,506/510,270/270,110/110,298/302,143/143,208/208,426/428,335/335,165/165,268/268,328/334,245/267
WM,S12T9,574226,3149401,90.3,231,136/136,506/506,270/284,98/122,298/302,143/143,208/208,426/428,333/345,165/165,258/266,328/334,251/267
WM,S13T7,574359,3149585,19.5,60,138/138,508/508,270/270,102/110,298/302,143/143,208/210,418/428,335/335,149/165,268/268,334/346,249/267
WM,S14T1,574442,3149625,15.6,45,136/136,506/510,270/270,110/122,298/302,143/143,208/212,426/428,333/335,165/165,266/266,336/336,245/267
WM,S14T2,574449,3149625,30.4,80,136/136,506/506,270/270,110/110,298/302,143/143,208/212,426/428,333/335,165/165,268/268,336/336,245/267
WM,S14T3,574451,3149626,30.6,81,136/136,506/506,270/270,110/110,298/302,143/143,208/212,426/428,333/335,165/165,268/268,336/336,245/267
WM,S14T6,574520,3149669,19.4,52,136/136,506/510,270/270,110/110,302/302,143/143,196/208,414/426,335/351,165/165,268/268,336/336,267/267
WM,S14T9,574545,3149650,13.4,39,136/136,506/506,270/270,110/122,298/298,143/143,196/208,414/428,333/335,165/165,248/256,328/334,245/249
WM,S14T10,574548,3149655,17.2,50,136/136,506/506,270/284,110/110,298/302,143/143,196/212,414/426,333/335,165/165,258/258,328/328,249/267
WM,S14T11,574559,3149653,20.4,55,136/136,508/510,270/270,110/110,298/302,143/143,210/210,418/426,335/345,165/165,256/256,336/336,245/251
WM,S15T1,574592,3149742,35.6,96,136/136,506/510,230/230,110/110,298/302,143/143,198/210,428/428,333/333,165/165,252/266,328/336,245/251
WM,S15T2,574595,3149739,1.5,4,136/136,506/510,270/270,110/110,298/302,143/143,198/212,414/428,333/333,165/165,254/264,334/336,251/267
WM,S15T4,574589,3149728,50.8,132,136/136,506/508,270/270,110/110,302/302,143/143,196/210,418/428,335/343,165/165,250/256,334/336,245/251
WM,S15T5,574594,3149723,43.1,113,136/136,506/506,270/270,98/110,298/302,143/143,208/208,426/428,333/335,165/165,256/256,328/346,245/267
WM,S15T6,574597,3149700,65,169,136/136,506/508,270/270,110/110,302/302,143/143,208/210,418/426,333/335,165/165,256/264,336/336,245/267
WM,S15T7,574604,3149694,22,60,136/136,506/506,270/270,98/110,302/302,143/143,208/208,418/426,333/335,165/165,256/256,328/328,245/267
WM,S15T9,574582,3149692,44.7,117,136/136,506/506,270/270,98/110,298/302,143/143,208/208,426/428,333/335,165/165,256/266,328/334,251/267
WM,S15T10,574582,3149701,104.2,265,136/136,508/508,270/270,110/110,302/302,143/143,196/210,418/426,335/345,165/165,244/256,328/336,245/267
WM,S15T11,574579,3149704,132.9,335,136/136,506/510,270/270,110/122,302/302,143/143,208/210,418/428,335/335,165/165,268/268,328/336,245/275
WM,S15T12,574585,3149692,35.4,96,136/136,506/510,270/270,110/122,298/302,143/143,210/214,414/428,333/333,165/165,256/266,328/336,245/267
WM,S15T13,574592,3149671,37.7,100,136/136,506/510,270/270,98/110,298/298,143/143,196/196,414/428,333/335,165/165,248/256,328/336,245/249
WM,S16T1,574665,3149682,102.1,259,136/136,508/510,270/270,110/110,298/298,143/143,198/208,428/428,335/335,165/165,268/268,334/336,245/255
WM,S16T2,574665,3149674,31.9,83,136/136,506/510,270/270,110/122,298/302,143/143,198/198,414/428,335/335,165/165,266/266,334/336,245/251
WM,S16T3,574753,3149664,68,175,136/136,506/506,270/270,110/122,302/302,143/143,198/212,418/426,335/345,165/165,266/266,328/336,245/275
WM,S16T5,574771,3149677,34.6,92,136/136,506/510,270/270,110/110,298/302,143/143,198/208,418/428,335/345,165/165,268/268,328/346,267/267
WM,S16T6,574777,3149700,78.6,202,136/136,506/506,270/270,110/110,298/302,143/143,198/210,414/428,335/345,165/165,256/256,336/346,249/267
WM,S16T8,574794,3149658,73.9,186,136/136,506/506,270/270,110/110,298/302,143/143,198/208,418/428,335/335,165/165,268/268,328/346,251/267
WM,S16T9,574783,3149601,25.1,66,136/136,506/510,270/270,110/122,302/302,143/143,208/208,414/418,337/337,165/165,256/264,328/346,255/275
WM,S17T4,574935,3149545,19.1,52,136/136,506/506,270/270,122/122,298/302,143/143,198/208,426/428,335/345,165/165,266/266,336/336,245/267
WM,S17T7,574915,3149644,121.5,307,136/136,506/506,270/272,110/110,298/302,143/143,198/208,418/428,335/335,165/165,256/266,328/346,267/267
WM,S17T11,574976,3149616,62.1,161,136/136,506/506,270/276,122/122,298/298,143/143,198/210,414/428,335/345,165/165,256/256,336/346,245/267
WM,S18T1,575005,3149554,54.8,140,136/136,506/506,270/270,122/122,302/302,143/143,196/208,418/426,335/345,161/165,266/266,334/334,267/267
WM,S18T2,575053,3149560,141.1,360,136/136,506/506,270/270,110/110,302/302,143/143,210/210,426/426,333/335,165/165,256/264,328/346,267/267
WM,S18T3,575058,3149563,41.2,109,136/136,506/506,270/270,110/110,302/302,143/143,210/210,426/426,333/335,165/165,256/264,328/346,267/267
WM,S18T5,575125,3149579,16.2,47,136/136,506/508,270/270,110/110,298/298,143/143,208/212,428/428,333/345,165/165,256/264,328/336,245/245
