pop,ind,lat,long,dbh,age,MO1,MO6,MO10,MO55,MO61,MO41,MO45,MO46,MO56,MO8,MO12,MO13,MO68
WF,S28T25,562831,3175926,14.3,30,136/136,506/506,NA,110/112,302/302,143/143,210/210,424/426,333/345,149/165,266/266,334/346,251/251
WF,S28T26,562833,3175928,15.6,41,136/136,506/506,270/270,110/110,302/302,143/143,198/210,414/424,343/345,149/165,266/266,336/346,235/251
WF,S28T27,562846,3175953,10.5,31,136/136,506/510,NA,112/122,298/302,143/143,208/208,414/428,335/347,149/165,256/256,328/334,235/255
WF,S28T28,562837,3175956,10.8,31,136/136,506/506,270/270,110/110,298/302,143/143,208/210,424/428,335/335,165/165,268/268,328/340,251/255
WF,S28T29,562828,3175961,12.2,43,136/136,506/506,270/270,110/110,302/302,143/143,198/212,420/428,333/347,165/165,268/268,342/346,245/249
WF,S28T30,562826,3175968,1.1,3,136/136,506/506,270/270,110/110,302/302,143/143,210/212,424/428,333/333,165/165,268/268,328/346,249/251
WF,S28T31,562826,3175989,11.3,33,136/136,506/506,270/270,110/110,302/302,143/143,198/210,424/428,333/345,165/165,248/256,336/346,249/249
WF,S28T32,562827,3175990,8.9,27,136/136,506/506,270/270,110/110,302/302,143/143,210/210,424/426,333/345,165/165,256/256,334/336,235/251
WF,S28T33,561582,3175340,22.3,62,136/136,506/508,270/270,110/122,302/302,143/143,198/208,420/420,333/347,149/149,256/256,334/336,255/255
WF,S29T5,562881,3175823,19,55,136/136,506/506,270/270,110/118,302/302,143/143,198/210,414/422,335/345,149/165,256/256,328/336,245/251
WF,S30T1,562882,3175797,18.8,57,136/136,506/506,270/270,110/110,302/302,143/143,208/208,424/428,333/347,149/161,256/256,328/336,251/255
WF,S30T2,562970,3175750,42.1,77,136/136,506/508,NA,110/112,302/302,143/143,198/208,428/428,335/335,149/165,256/256,334/336,251/251
WF,S30T3,562971,3175765,16.3,72,136/136,506/506,270/286,110/110,298/302,143/143,198/208,428/428,335/335,149/165,268/268,334/340,251/255
WF,S31T1,563038,3175739,40.3,107,136/136,510/510,270/284,110/122,298/302,143/143,198/208,418/428,335/347,165/165,256/268,328/328,249/267
WF,S31T2,563070,3175732,42.5,116,136/136,506/508,270/270,110/122,298/302,143/143,198/210,424/428,335/335,149/163,252/256,328/346,235/255
WF,S31T4,563100,3175719,36.7,174,136/136,506/506,286/286,110/118,302/302,143/143,208/208,422/428,335/345,165/165,268/268,328/336,235/249
WZ,S32T1,626386,3170610,90.2,386,136/136,506/508,NA,110/112,302/302,143/143,198/210,424/428,335/335,165/165,266/266,328/346,235/251
WZ,S32T2,626402,3170634,30,133,136/138,508/508,NA,110/118,302/302,143/143,208/208,414/428,335/335,149/165,256/264,332/342,249/251
WZ,S32T3,626438,3170657,17.6,75,136/136,506/506,270/270,110/110,302/302,143/143,198/208,424/428,335/335,149/163,256/256,328/346,235/235
WZ,S32T5,626490,3170704,14.6,39,136/138,508/508,270/270,110/120,302/302,143/143,208/208,428/428,341/345,149/159,264/264,342/342,251/257
WZ,S32T8,626546,3170768,23.8,69,136/136,504/508,270/270,110/120,302/302,143/143,182/208,428/428,333/339,149/149,256/264,328/342,251/251
WZ,S32T9,626546,3170767,9.8,30,136/138,508/510,270/270,110/110,302/302,143/143,210/210,422/424,335/339,149/163,264/264,342/342,249/249
WZ,S32T10,626548,3170767,11.9,39,138/138,508/508,NA,102/102,302/302,143/143,208/208,428/428,335/339,149/163,258/258,342/342,249/251
WZ,S33T2,626548,3170836,26.7,72,136/136,506/510,270/270,110/120,298/302,143/143,198/212,428/428,333/339,165/165,256/266,328/336,245/251
WZ,S33T6,626561,3170806,25.2,93,136/138,508/510,246/276,102/110,302/302,143/143,208/208,428/428,335/339,149/163,256/264,342/344,249/251
WZ,S33T7_N,626562,3170809,1.2,3,136/136,508/508,270/270,110/110,302/302,143/143,208/208,428/428,335/339,149/149,256/264,328/342,251/251
WZ,S33T8,626540,3170809,34,275,136/138,508/510,270/270,110/110,302/302,143/143,208/208,428/428,335/335,149/163,256/266,328/342,249/251
WZ,S33T9_N,626554,3170808,0.6,3,138/138,508/508,NA,102/110,302/302,143/143,208/208,428/428,335/339,149/163,256/264,342/342,251/251
WZ,S33T10,626577,3170788,84.9,356,138/138,508/510,276/276,102/102,302/302,143/143,208/208,428/428,333/339,149/149,256/256,342/342,251/257
WZ,S33T12,626547,3170780,32.6,163,136/138,508/508,270/270,102/110,302/302,143/143,208/208,428/428,335/339,149/163,256/264,342/342,249/251
WZ,S33T20,626559,3170813,20.4,50,136/136,506/510,270/270,110/122,298/298,143/143,208/210,426/428,335/335,165/165,268/268,328/346,267/267
WZ,S34T1,626627,3170767,33,86,136/136,508/508,270/270,110/110,298/302,143/143,208/208,428/428,333/339,149/163,256/264,342/342,249/251
WZ,S34T4,626694,3170874,60.2,153,136/138,508/508,270/270,102/110,302/302,143/143,208/208,428/428,335/339,149/163,256/264,342/342,251/251
WZ,S34T5,626716,3170861,52.2,134,136/136,508/508,270/270,110/110,302/302,143/143,208/208,428/428,339/339,159/161,268/268,336/342,251/251
WZ,S34T6,626717,3170857,35.1,97,136/138,508/508,270/270,110/110,298/302,143/143,208/208,418/428,339/339,149/163,256/264,342/344,249/251
WZ,S34T7,626728,3170868,53,150,136/138,508/508,270/270,110/110,298/302,143/143,208/208,418/428,339/345,149/163,258/266,342/344,249/251
WZ,S34T11,626875,3170969,13.4,40,136/136,508/508,NA,110/110,302/302,143/143,208/208,428/428,335/339,149/163,264/264,342/342,249/251
WZ,S35T1,626960,3171114,46.3,127,136/138,508/510,270/270,104/110,302/302,143/143,208/208,428/428,335/339,159/163,252/252,342/342,257/257
WZ,S35T2,627035,3171319,42.9,116,138/138,508/510,270/284,110/110,298/302,143/143,208/208,428/428,335/335,149/149,256/266,328/342,249/251
WZ,S36T1,627185,3171467,63.3,178,138/138,508/510,270/270,102/110,302/302,143/143,208/208,428/428,335/339,149/163,256/264,342/342,251/257
WZ,S36T2,627216,3171483,1.3,3,136/138,508/508,270/270,102/110,302/302,143/143,208/208,428/428,335/339,149/149,250/256,342/342,251/251
WZ,S36T4,627231,3171494,60.2,156,138/138,508/508,238/238,102/110,298/302,143/143,208/208,418/428,339/339,163/163,256/264,328/342,251/257
WZ,S36T5,627226,3171501,73.7,189,136/136,510/510,270/270,110/110,302/302,143/143,208/216,428/428,335/335,163/165,256/256,342/342,249/251
WZ,S36T6,627226,3171502,65.1,187,136/136,508/508,270/270,110/110,302/302,143/143,208/208,414/428,335/339,149/163,256/256,342/342,245/251
WZ,S36T7,627218,3171517,31.7,98,136/138,508/510,270/270,102/110,298/302,143/143,208/216,418/428,331/339,149/163,266/266,328/342,249/257
WZ,S36T8,627223,3171514,51.5,146,138/138,508/508,270/270,110/110,302/302,143/143,208/216,414/428,335/345,163/165,268/268,328/342,249/251
WZ,S36T9,627228,3171517,101.5,260,136/138,508/510,270/270,110/110,302/302,143/143,208/208,428/428,335/335,149/163,256/256,342/342,251/257
WZ,S36T10,627216,3171518,1.2,3,136/138,508/508,270/270,110/110,302/302,143/143,190/208,428/428,339/345,149/163,256/256,342/342,251/257
WZ,S36T11,627217,3171518,25,150,138/138,508/508,270/286,110/110,298/302,143/143,208/208,418/428,335/339,149/149,256/266,342/342,245/251
WZ,S36T12,627221,3171526,56.1,193,136/136,508/510,270/270,102/110,298/302,143/143,208/208,418/428,335/339,163/163,256/266,328/342,249/257
WZ,S36T13,627219,3171525,25.9,69,136/136,508/508,270/270,110/110,302/302,143/143,208/208,428/428,343/343,149/149,258/264,342/342,249/249
WZ,S36T14,627215,3171518,29.4,81,138/138,508/510,270/270,110/110,298/302,143/143,208/216,428/428,333/339,149/163,256/256,328/342,249/257
WZ,S36T15,627201,3171524,29.6,87,136/136,508/508,270/270,110/110,302/302,143/143,208/208,414/428,335/335,149/163,250/256,342/342,245/251
WZ,S37T1,627244,3171526,82.5,222,136/138,508/508,270/270,110/122,302/302,143/143,208/208,418/428,335/339,163/163,256/256,342/342,251/251
WZ,S37T2,627255,3171528,61.3,134,136/136,506/506,270/270,110/122,302/302,143/143,210/210,426/428,333/335,165/165,256/266,336/340,249/267
WZ,S37T3,627231,3171544,1.3,3,136/136,508/510,270/286,102/110,298/302,143/143,208/208,420/428,339/339,149/163,246/256,328/344,249/257
WZ,S37T4,627254,3171565,44.1,96,136/138,510/510,270/270,110/110,298/302,143/143,208/208,428/428,335/339,149/163,256/264,328/342,249/257
WZ,S37T5,627276,3171557,59,243,136/138,506/510,270/270,110/110,302/302,143/143,208/208,428/428,335/335,149/149,246/256,342/342,249/257
WZ,S37T7,627282,3171565,62.2,151,136/136,506/508,270/270,110/110,302/302,143/143,208/216,420/428,339/339,149/165,256/266,342/344,249/257
WZ,S37T8,627284,3171562,22,58,136/138,508/508,270/270,110/110,302/302,143/143,208/214,428/428,335/335,163/165,248/256,328/342,249/249
WZ,S37T9,627276,3171573,18.1,52,136/138,508/510,270/270,110/110,298/298,143/143,208/216,428/428,335/335,149/149,262/262,328/342,249/251
WZ,S37T11,627273,3171584,21.3,55,136/138,508/510,NA,102/110,298/298,143/143,208/216,418/428,339/345,149/149,256/264,328/342,249/249
WZ,S38T1,627313,3171614,31.9,82,136/138,508/508,270/270,110/110,298/302,143/143,208/208,428/428,335/339,149/159,256/256,342/342,249/251
WZ,S38T3,627360,3171595,46.8,120,136/138,508/510,270/270,110/110,302/302,143/143,208/208,428/428,333/345,149/165,248/266,328/328,249/249
WZ,S38T4_N,627397,3171780,1.1,3,136/136,508/508,270/270,104/112,302/302,143/143,208/216,428/428,335/335,149/163,256/256,342/342,249/251
WZ,S38T5,627360,3171634,41,105,136/138,510/510,270/270,110/112,302/302,143/143,208/208,428/428,335/339,149/165,250/264,328/342,249/251
WZ,S39T1_N,627400,3171601,1.3,3,138/138,508/510,270/270,110/110,300/302,143/143,208/216,428/428,339/339,149/165,250/256,328/342,249/257
WZ,S39T2,627434,3171599,44.8,116,136/138,508/508,270/270,110/110,302/302,143/143,208/208,418/428,333/339,149/163,256/258,342/342,249/251
WZ,S39T3,627458,3171596,77,202,136/138,508/510,270/286,102/110,298/302,143/143,208/208,418/428,339/339,149/163,256/256,342/342,249/257
WZ,S39T4,627455,3171603,60.5,288,136/136,508/510,270/270,110/110,302/302,143/143,208/208,428/428,335/339,165/165,248/256,342/342,251/251
WZ,S39T5,627462,3171618,47.4,131,136/138,508/508,270/270,110/110,302/302,143/143,208/208,420/428,345/373,149/165,246/256,342/342,251/251
WZ,S39T6,627463,3171623,27.5,75,136/138,508/508,270/270,110/110,302/302,143/143,208/208,428/428,335/335,149/149,250/264,344/344,249/251
WZ,S40T1,627714,3171337,31.2,100,136/138,508/510,270/270,110/110,298/302,143/143,208/208,418/428,339/339,149/149,256/256,342/342,251/257
WZ,S41T1,633129,3170736,48.1,173,136/138,508/508,270/270,110/118,302/302,143/143,208/208,414/428,335/339,163/165,256/256,342/344,251/251
